# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CDC27	ENSG00000004897	ENST00000531206	protein_coding	640	13721	5584	5634	2040	1	12	117	2	4212	5422	0	0	0	11592	108	108	981	7	410	7	2	1629	117
CDC34	ENSG00000099804	ENST00000215574	protein_coding	876	3093	1616	3765	1620	77	654	630	2	936	1544	0	726	0	2448	24	24	225	7	87	8	1	484	117
CDC37	ENSG00000105401	ENST00000222005	protein_coding	371	2395	2627	2949	1251	17	162	117	2	1638	2546	0	108	0	1512	42	42	387	7	164	8	1	683	117
CDC37L1	ENSG00000106993	ENST00000381854	protein_coding	256	7020	2283	14874	6858	91	606	6177	2	1404	2265	0	0	0	6129	36	36	333	7	170	7	2	589	117
CDC40	ENSG00000168438	ENST00000307731	protein_coding	456	5988	3833	11094	6252	11	72	117	2	3276	3833	0	0	0	4365	84	84	765	7	274	7	2	1095	2049
CDC42	ENSG00000070831	ENST00000421089	protein_coding	182	777	1531	2562	816	69	396	117	2	1404	1531	0	0	0	0	36	36	333	7	95	8	1	462	117
CDC42BPA	ENSG00000143776	ENST00000334218	protein_coding	1248	5173	11799	27315	13206	445	2829	4467	2	8424	11799	0	0	0	0	216	216	1953	7	801	8	1	3420	117
CDC42BPB	ENSG00000198752	ENST00000361246	protein_coding	2838	25542	11378	18903	3999	89	867	7224	2	8424	11261	0	1734	0	20790	216	216	1953	7	657	8	1	3472	117
CDC42BPG	ENSG00000171219	ENST00000342711	protein_coding	919	21061	9991	10164	3258	0	0	117	2	8400	9937	0	0	0	16266	216	216	1953	7	472	8	1	3541	117
CDC42EP1	ENSG00000128283	ENST00000249014	protein_coding	111	2313	2635	5547	1755	148	1260	2043	2	468	2518	0	0	0	1260	12	12	117	7	72	8	1	920	117
CDC42EP2	ENSG00000149798	ENST00000279249	protein_coding	67	759	1364	4590	2694	216	1476	117	2	234	1364	0	0	0	0	6	6	63	7	40	8	1	477	117
CDC42EP3	ENSG00000163171	ENST00000295324	protein_coding	111	968	1676	15225	11802	385	3003	117	2	234	1676	0	0	0	0	6	6	63	7	85	7	2	516	117
CDC42EP4	ENSG00000179604	ENST00000335793	protein_coding	118	1163	2419	7023	5418	133	1185	117	2	234	2320	0	0	0	279	6	6	63	7	91	8	1	784	117
CDC42EP5	ENSG00000167617	ENST00000301200	protein_coding	55	1083	931	13029	225	137	1026	11289	2	468	931	0	0	0	459	12	12	117	7	16	8	1	376	117
CDC42SE1	ENSG00000197622	ENST00000357235	protein_coding	94	517	520	26061	7113	174	1302	8910	2	6099	520	0	0	0	0	24	24	225	7	31	8	1	151	2829
CDC42SE2	ENSG00000158985	ENST00000360515	protein_coding	110	649	554	11172	8370	245	1638	117	2	1170	554	0	0	0	0	30	30	279	7	35	8	1	158	117
CDC45	ENSG00000093009	ENST00000437685	protein_coding	439	1912	4087	13299	396	33	234	7422	2	4443	4006	0	0	0	81	114	114	1035	7	196	8	1	1171	1716
CDC5L	ENSG00000096401	ENST00000371477	protein_coding	575	19070	5423	16047	11145	138	897	117	2	4491	5279	0	0	0	16974	90	90	819	7	380	8	1	1550	117
CDC6	ENSG00000094804	ENST00000209728	protein_coding	376	1871	3728	11076	2754	227	1413	117	2	2574	3656	0	0	0	144	66	66	603	7	230	7	2	1145	4746
CDC7	ENSG00000097046	ENST00000234626	protein_coding	1672	11210	3859	6624	3987	55	357	117	2	2574	3805	0	1290	0	9666	66	66	603	7	235	8	1	1117	117
CDC73	ENSG00000134371	ENST00000367435	protein_coding	431	18228	3532	23619	9567	72	552	117	2	14034	3460	0	0	0	16554	96	96	873	7	224	8	1	1086	117
CDCA2	ENSG00000184661	ENST00000330560	protein_coding	614	3424	6898	5856	546	202	1431	117	2	3276	6727	0	0	0	828	84	84	765	7	432	7	2	2039	1158
CDCA3	ENSG00000111665	ENST00000535406	protein_coding	157	1185	1837	8436	642	134	918	3609	2	936	1711	0	0	0	423	24	24	225	7	94	8	1	598	2523
CDCA4	ENSG00000170779	ENST00000336219	protein_coding	108	650	1557	5781	4893	62	468	117	2	234	1557	0	0	0	0	6	6	63	7	81	8	1	522	117
CDCA5	ENSG00000146670	ENST00000404147	protein_coding	162	860	1976	8841	57	25	207	117	2	936	1976	0	0	0	0	24	24	225	7	99	8	1	679	7716
CDCA7	ENSG00000144354	ENST00000306721	protein_coding	310	3969	3061	6216	3999	41	309	117	2	2106	2971	0	0	0	2799	54	54	495	7	188	7	2	882	117
CDCA7L	ENSG00000164649	ENST00000406877	protein_coding	316	2567	3216	8241	4263	114	840	1347	2	2106	3000	0	0	0	1449	54	54	495	7	194	7	2	883	117
CDCA8	ENSG00000134690	ENST00000327331	protein_coding	234	9425	1962	9042	4041	53	339	822	2	2340	1818	0	0	0	8532	60	60	549	7	99	8	1	594	1980
CDCP1	ENSG00000163814	ENST00000296129	protein_coding	361	13111	5596	12207	10080	45	405	117	2	1872	5515	0	0	0	11097	48	48	441	7	251	7	2	1749	117
CDCP2	ENSG00000157211	ENST00000371330	protein_coding	188	6556	2936	4911	1575	374	2544	117	2	702	2918	0	0	0	5103	18	18	171	7	138	7	2	976	117
CDH1	ENSG00000039068	ENST00000261769	protein_coding	458	24045	5921	9744	6147	67	573	117	2	3510	5795	0	0	0	21681	90	90	819	7	263	8	1	1871	117
CDH10	ENSG00000040731	ENST00000264463	protein_coding	422	18760	5243	5493	1689	218	1524	117	2	2574	5198	0	0	0	16551	66	66	603	7	276	7	2	1609	117
CDH11	ENSG00000140937	ENST00000268603	protein_coding	416	18987	5313	15864	11550	245	1848	117	2	2808	5277	0	0	0	16677	72	72	657	7	258	7	2	1620	117
CDH12	ENSG00000154162	ENST00000382254	protein_coding	473	2687	5230	8175	2076	482	3261	117	2	3276	5230	0	0	0	0	84	84	765	7	291	7	2	1616	117
CDH13	ENSG00000140945	ENST00000268613	protein_coding	395	12085	5084	4155	1038	44	279	117	2	3276	5012	0	0	0	9990	84	84	765	7	212	8	1	1607	117
CDH15	ENSG00000129910	ENST00000289746	protein_coding	370	19616	5290	9684	1011	28	195	5943	2	3042	5254	0	0	0	17280	78	78	711	7	199	8	1	1864	117
CDH16	ENSG00000166589	ENST00000299752	protein_coding	448	23406	5406	8295	810	85	582	117	2	3939	5379	0	0	0	20862	102	102	927	7	229	8	1	1844	3663
CDH17	ENSG00000079112	ENST00000027335	protein_coding	505	2388	5494	6978	3207	47	375	117	2	3978	5494	0	0	0	0	102	102	927	7	286	8	1	1699	117
CDH18	ENSG00000145526	ENST00000274170	protein_coding	444	18866	5255	4002	0	238	1536	117	2	2808	5210	0	0	0	16596	72	72	657	7	285	8	1	1606	117
CDH19	ENSG00000071991	ENST00000262150	protein_coding	452	18285	5213	14346	11187	121	879	117	2	2574	5141	0	0	0	16317	66	66	603	7	305	8	1	1493	117
CDH2	ENSG00000170558	ENST00000269141	protein_coding	507	21512	6062	7857	3561	163	1272	117	2	3510	5972	0	0	0	19026	90	90	819	7	312	8	1	1861	117
CDH20	ENSG00000101542	ENST00000262717	protein_coding	406	2207	5318	6708	3234	158	1194	117	2	2574	5318	0	0	0	0	66	66	603	7	259	8	1	1623	117
CDH22	ENSG00000149654	ENST00000372262	protein_coding	331	2386	5383	5616	2319	150	1203	117	2	2340	5383	0	0	0	0	60	60	549	7	196	8	1	1864	117
CDH23	ENSG00000107736	ENST00000224721	protein_coding	1596	9788	22120	49104	0	0	15	6651	2	45585	22120	0	0	0	0	408	408	3645	7	765	8	1	7337	117
CDH24	ENSG00000139880	ENST00000267383	protein_coding	358	19855	5282	10782	960	31	279	4437	2	2559	5255	0	0	0	17547	66	66	603	7	211	8	1	1896	3075
CDH26	ENSG00000124215	ENST00000244047	protein_coding	510	2488	5588	4143	0	141	933	117	2	3744	5588	0	0	0	0	96	96	873	7	303	8	1	1768	117
CDH3	ENSG00000062038	ENST00000264012	protein_coding	437	22244	5485	6660	2004	212	1632	117	2	3510	5458	0	0	0	19755	90	90	819	7	242	8	1	1752	117
CDH4	ENSG00000179242	ENST00000360469	protein_coding	436	2542	6038	20772	11016	34	264	117	2	9978	6038	0	0	0	0	90	90	819	7	241	8	1	1956	117
CDH5	ENSG00000179776	ENST00000341529	protein_coding	390	18848	5231	7566	4842	55	444	117	2	2574	5168	0	0	0	16794	66	66	603	7	243	8	1	1636	117
CDH6	ENSG00000113361	ENST00000265071	protein_coding	439	18686	5261	20589	17514	98	795	117	2	2574	5198	0	0	0	16614	66	66	603	7	293	7	2	1610	117
CDH7	ENSG00000081138	ENST00000323011	protein_coding	447	18822	5176	3390	135	139	975	117	2	2574	5158	0	0	0	16677	66	66	603	7	300	8	1	1598	117
CDH8	ENSG00000150394	ENST00000577390	protein_coding	415	19061	5341	24243	19098	376	2865	117	2	2574	5287	0	0	0	16686	66	66	603	7	268	8	1	1627	117
CDH9	ENSG00000113100	ENST00000231021	protein_coding	435	18560	5321	4407	1608	64	519	117	2	2574	5276	0	0	0	16587	66	66	603	7	289	7	2	1527	117
CDHR1	ENSG00000148600	ENST00000372117	protein_coding	426	2488	5641	15096	8235	38	309	3459	2	3744	5641	0	0	0	0	96	96	873	7	219	8	1	1862	117
CDHR2	ENSG00000074276	ENST00000261944	protein_coding	714	4033	8585	18705	288	18	117	12444	2	7227	8585	0	0	0	0	186	186	1683	7	327	8	1	2869	117
CDHR3	ENSG00000128536	ENST00000317716	protein_coding	517	23851	5837	7047	3225	46	240	117	2	4212	5810	0	0	0	21312	108	108	972	7	287	7	2	1859	117
CDHR4	ENSG00000187492	ENST00000412678	protein_coding	447	19848	5127	7503	300	3	27	873	2	4206	5118	0	0	0	17445	108	108	981	7	216	8	1	1749	2961
CDHR5	ENSG00000099834	ENST00000358353	protein_coding	400	2683	5411	18660	2322	133	969	10428	2	3510	5411	0	0	0	0	90	90	819	7	206	7	2	1979	2151
CDIP1	ENSG00000089486	ENST00000399599	protein_coding	123	873	1339	13425	5499	235	1647	5418	2	936	1339	0	0	0	0	24	24	225	7	61	7	2	463	117
CDIPT	ENSG00000103502	ENST00000561555	protein_coding	114	729	1542	3828	2481	90	555	117	2	702	1542	0	0	0	0	18	18	171	7	63	8	1	519	117
CDK1	ENSG00000170312	ENST00000395284	protein_coding	868	7379	2269	4593	2631	58	426	117	2	1638	1954	0	636	0	6777	42	42	387	7	133	8	1	577	117
CDK10	ENSG00000185324	ENST00000353379	protein_coding	273	6212	2361	14424	2016	11	129	7086	2	2787	2343	0	0	0	5001	72	72	657	7	114	8	1	774	2982
CDK11A	ENSG00000008128	ENST00000378633	protein_coding	590	11155	5235	4080	78	36	240	117	2	4440	5181	0	0	0	8949	114	114	1035	7	347	8	1	1510	117
CDK11B	ENSG00000248333	ENST00000407249	protein_coding	579	2276	5188	12909	78	0	0	5895	2	4674	5188	0	0	0	0	120	120	1089	7	324	8	1	1544	3222
CDK12	ENSG00000167258	ENST00000447079	protein_coding	1145	10739	10305	14241	11490	16	99	117	2	3042	9675	0	390	0	7731	78	78	711	7	585	7	2	3141	117
CDK13	ENSG00000065883	ENST00000181839	protein_coding	753	8331	10250	10929	6462	242	1815	117	2	3042	9791	0	0	0	4842	78	78	711	7	582	8	1	3226	117
CDK14	ENSG00000058091	ENST00000380050	protein_coding	369	6295	3126	13593	10362	55	393	117	2	3276	3090	0	0	0	4806	84	84	765	7	186	8	1	936	117
CDK15	ENSG00000138395	ENST00000374598	protein_coding	342	1388	2845	3480	828	0	0	117	2	3042	2845	0	0	0	0	78	78	711	7	171	8	1	890	117
CDK16	ENSG00000102225	ENST00000276052	protein_coding	367	1844	3694	8082	3675	37	234	1266	2	3510	3694	0	0	0	0	90	90	819	7	173	7	2	1254	117
CDK17	ENSG00000059758	ENST00000261211	protein_coding	461	6844	3530	10965	5943	230	1812	117	2	3744	3413	0	0	0	5094	96	96	873	7	255	7	2	1030	117
CDK18	ENSG00000117266	ENST00000506784	protein_coding	349	6703	3375	4908	1224	77	660	117	2	3510	3294	0	0	0	5058	90	90	819	7	154	8	1	1079	117
CDK19	ENSG00000155111	ENST00000368911	protein_coding	368	7095	3342	16677	13671	59	540	117	2	2808	3324	0	0	0	5634	72	72	657	7	209	8	1	976	117
CDK2	ENSG00000123374	ENST00000553376	protein_coding	219	1077	2237	5169	1488	65	564	738	2	1638	2237	0	0	0	0	42	42	387	7	120	8	1	748	1077
CDK20	ENSG00000156345	ENST00000325303	protein_coding	202	5463	2252	4938	2484	138	918	117	2	1638	2243	0	0	0	4311	42	42	387	7	103	8	1	759	117
CDK2AP1	ENSG00000111328	ENST00000261692	protein_coding	92	2231	752	8298	2265	168	1566	3792	2	702	734	0	0	0	1710	18	18	171	7	41	8	1	251	117
CDK2AP2	ENSG00000167797	ENST00000301488	protein_coding	86	1276	795	7551	1344	195	1647	3885	2	702	795	0	0	0	666	18	18	171	7	36	7	2	294	117
CDK3	ENSG00000250506	ENST00000425876	protein_coding	192	4945	1984	15513	1728	44	264	10740	2	1380	1984	0	0	0	4026	36	36	333	7	105	8	1	647	1689
CDK4	ENSG00000135446	ENST00000257904	protein_coding	1051	8210	2264	13527	2394	152	1098	5316	2	1638	1940	0	858	0	7416	42	42	387	7	94	8	1	684	3417
CDK5	ENSG00000164885	ENST00000485972	protein_coding	2759	1270	1906	14028	591	247	2046	7839	2	2574	1906	0	2514	0	0	66	66	603	7	98	8	1	615	1506
CDK5R1	ENSG00000176749	ENST00000313401	protein_coding	531	1927	2026	23256	8136	221	2067	7533	2	234	1990	0	408	0	1008	6	6	63	7	96	8	1	668	5334
CDK5R2	ENSG00000171450	ENST00000302625	protein_coding	115	1100	2340	4422	3690	54	498	117	2	0	2313	0	0	0	180	0	0	9	7	100	8	1	881	117
CDK5RAP1	ENSG00000101391	ENST00000357886	protein_coding	393	1853	3942	3912	612	71	462	117	2	3276	3942	0	0	0	0	84	84	765	7	210	8	1	1248	117
CDK5RAP2	ENSG00000136861	ENST00000349780	protein_coding	1313	11238	12662	8754	1098	64	540	117	2	8658	12518	0	0	0	6318	222	222	2007	7	854	8	1	3656	117
CDK5RAP3	ENSG00000108465	ENST00000536708	protein_coding	384	4944	3470	3789	810	47	327	117	2	3042	3452	0	0	0	3330	78	78	711	7	213	8	1	1105	117
CDK6	ENSG00000105810	ENST00000265734	protein_coding	2287	1108	2126	33429	30657	145	1236	117	2	1638	2126	0	2070	0	0	42	42	387	7	118	8	1	681	117
CDK7	ENSG00000134058	ENST00000256443	protein_coding	295	8498	2316	11205	864	60	309	6981	2	2574	2262	0	0	0	7389	66	66	603	7	149	7	2	694	1005
CDK8	ENSG00000132964	ENST00000381527	protein_coding	2576	9988	3059	7446	3471	206	1509	117	2	2808	3059	0	2196	0	8451	72	72	657	7	221	8	1	887	117
CDK9	ENSG00000136807	ENST00000373265	protein_coding	236	1292	3179	5040	3690	0	0	117	2	1404	3179	0	0	0	0	36	36	333	7	149	8	1	1064	117
CDKAL1	ENSG00000145996	ENST00000274695	protein_coding	426	1820	3822	7620	4095	83	501	117	2	3510	3822	0	0	0	0	90	90	819	7	231	8	1	1149	117
CDKL1	ENSG00000100490	ENST00000395834	protein_coding	259	1012	2366	4851	1446	13	84	462	2	3126	2366	0	0	0	0	48	48	441	7	149	7	2	698	117
CDKL2	ENSG00000138769	ENST00000307465	protein_coding	414	1852	3782	5208	1014	240	1542	117	2	3042	3782	0	0	0	0	78	78	711	7	243	8	1	1096	117
CDKL3	ENSG00000006837	ENST00000265334	protein_coding	600	7819	3950	5127	687	42	357	117	2	2808	3950	0	168	0	6219	72	72	657	7	273	8	1	1096	1734
CDKL4	ENSG00000205111	ENST00000395035	protein_coding	274	5369	2508	1722	0	0	0	117	2	1872	2508	0	0	0	4347	48	48	441	7	164	7	2	730	117
CDKL5	ENSG00000008086	ENST00000379989	protein_coding	885	3004	6792	14559	243	133	855	981	2	13371	6792	0	216	0	0	126	126	1143	7	402	8	1	2067	117
CDKN1A	ENSG00000124762	ENST00000448526	protein_coding	107	535	1264	2286	1602	10	78	117	2	468	1264	0	0	0	0	12	12	117	7	69	7	2	440	117
CDKN1B	ENSG00000111276	ENST00000396340	protein_coding	114	437	1364	1989	783	4	54	849	2	234	1364	0	0	0	0	6	6	63	7	87	8	1	385	117
CDKN1C	ENSG00000129757	ENST00000414822	protein_coding	99	1032	1983	6708	2124	138	1176	117	2	468	1983	0	0	0	0	12	12	117	7	60	8	1	792	2919
CDKN2A	ENSG00000147889	ENST00000361570	protein_coding	78	566	1058	4335	1776	13	111	1959	2	468	1058	0	0	0	0	12	12	117	7	39	8	1	451	117
CDKN2AIP	ENSG00000168564	ENST00000504169	protein_coding	281	4355	3783	3540	2313	97	621	117	2	468	3738	0	0	0	2988	12	12	117	7	243	7	2	1230	117
CDKN2AIPNL	ENSG00000237190	ENST00000458198	protein_coding	80	326	777	3222	2484	16	132	117	2	468	768	0	0	0	9	12	12	117	7	42	7	2	225	117
CDKN2B	ENSG00000147883	ENST00000276925	protein_coding	51	1789	877	10902	9252	158	1230	117	2	234	877	0	0	0	1251	6	6	63	7	24	8	1	332	117
CDKN2C	ENSG00000123080	ENST00000262662	protein_coding	876	1256	1101	8775	1089	743	6102	117	2	702	1101	0	780	0	0	18	18	171	7	46	7	2	356	909
CDKN2D	ENSG00000129355	ENST00000335766	protein_coding	302	2795	1075	6819	1371	47	384	3087	2	468	1066	0	240	0	2259	12	12	117	7	23	8	1	396	1605
CDKN3	ENSG00000100526	ENST00000335183	protein_coding	1324	3712	1375	2298	420	45	342	117	2	1638	1357	0	1116	0	2988	42	42	387	7	110	7	2	432	117
CDNF	ENSG00000185267	ENST00000465530	protein_coding	133	4590	1219	3252	0	65	378	117	2	702	1219	0	0	0	4041	18	18	171	7	82	8	1	373	2199
CDO1	ENSG00000129596	ENST00000250535	protein_coding	433	3063	1344	4749	2100	232	1671	117	2	936	1344	0	294	0	2304	24	24	225	7	77	7	2	370	117
CDON	ENSG00000064309	ENST00000392693	protein_coding	2634	31052	8491	19590	15438	66	384	117	2	4446	8410	0	1932	0	27648	114	114	1035	7	459	8	1	2705	117
CDPF1	ENSG00000205643	ENST00000314567	protein_coding	103	510	800	19818	3237	135	1272	14466	2	702	800	0	0	0	0	18	18	171	7	52	8	1	246	285
CDR1	ENSG00000184258	ENST00000370532	protein_coding	148	4256	1745	1764	954	101	576	117	2	0	1745	0	0	0	3672	0	0	9	7	133	8	1	471	117
CDR2	ENSG00000140743	ENST00000268383	protein_coding	271	3490	3004	4989	3087	111	924	117	2	936	2986	0	0	0	2358	24	24	225	7	209	7	2	882	117
CDR2L	ENSG00000109089	ENST00000337231	protein_coding	232	3670	3061	7392	5178	138	1236	117	2	936	3007	0	0	0	2430	24	24	225	7	169	8	1	1000	117
CDRT1	ENSG00000181464	ENST00000312127	protein_coding	104	521	1582	1029	150	2	36	726	2	0	1582	0	0	0	0	0	0	9	7	90	7	2	506	117
CDRT1	ENSG00000241322	ENST00000395906	protein_coding	441	5749	4985	3906	936	0	0	117	2	2574	4985	0	0	0	3861	66	66	603	7	294	8	1	1480	807
CDRT15	ENSG00000223510	ENST00000420162	protein_coding	99	520	1190	1203	549	3	48	117	2	468	1190	0	0	0	0	12	12	117	7	61	7	2	432	117
CDRT15L2	ENSG00000214819	ENST00000399044	protein_coding	112	891	1785	1026	546	4	60	117	2	234	1785	0	0	0	189	6	6	63	7	86	7	2	649	117
CDRT4	ENSG00000239704	ENST00000312177	protein_coding	116	560	985	6909	5274	104	843	117	2	702	985	0	0	0	0	18	18	171	7	65	8	1	300	117
CDS1	ENSG00000163624	ENST00000295887	protein_coding	357	3592	3039	11691	7956	166	1269	117	2	2808	3030	0	0	0	2079	72	72	657	7	199	7	2	911	117
CDS2	ENSG00000101290	ENST00000460006	protein_coding	314	1471	2949	26346	22959	135	921	117	2	2808	2949	0	0	0	0	72	72	657	7	155	8	1	892	117
CDSN	ENSG00000204539	ENST00000376288	protein_coding	147	1251	3440	7611	2805	11	81	4422	2	234	3440	0	0	0	0	6	6	63	7	121	7	2	1191	117
CDT1	ENSG00000167513	ENST00000301019	protein_coding	266	5279	3584	12405	2940	222	1857	5820	2	2103	3503	0	0	0	3543	54	54	495	7	143	8	1	1259	117
CDV3	ENSG00000091527	ENST00000264993	protein_coding	158	1333	2032	8568	6645	100	945	117	2	936	1699	0	0	0	891	24	24	225	7	96	7	2	518	117
CDX1	ENSG00000113722	ENST00000231656	protein_coding	116	1846	1690	3483	2631	28	246	117	2	468	1681	0	0	0	1125	12	12	117	7	77	8	1	618	117
CDX2	ENSG00000165556	ENST00000381020	protein_coding	134	2763	2030	9939	2934	871	6399	117	2	468	2012	0	0	0	1125	12	12	117	7	95	8	1	701	117
CDX4	ENSG00000131264	ENST00000373514	protein_coding	136	1444	1864	2586	1980	0	0	117	2	468	1864	0	0	0	774	12	12	117	7	97	8	1	586	117
CDY1	ENSG00000172288	ENST00000306609	protein_coding	1113	3447	3669	2388	1125	120	843	117	2	234	3669	0	870	0	2187	6	6	63	7	216	8	1	1092	117
CDY1B	ENSG00000172352	ENST00000306882	protein_coding	1113	1260	3669	2388	1125	120	843	117	2	234	3669	0	870	0	0	6	6	63	7	216	8	1	1092	117
CDY2A	ENSG00000182415	ENST00000426790	protein_coding	256	1284	3677	2523	1125	141	978	117	2	249	3677	0	0	0	0	12	12	96	7	217	8	1	1092	117
CDY2B	ENSG00000129873	ENST00000544303	protein_coding	256	1283	3677	2523	1125	140	978	117	2	249	3677	0	0	0	0	12	12	96	7	217	8	1	1092	117
CDYL	ENSG00000153046	ENST00000328908	protein_coding	328	8024	4067	6588	4473	47	393	117	2	1872	3977	0	0	0	6570	48	48	441	7	217	8	1	1179	117
CDYL2	ENSG00000166446	ENST00000562812	protein_coding	282	1322	3332	3222	1416	19	270	117	2	1638	3332	0	0	0	0	42	42	378	7	183	8	1	1039	117
CEA	ENSG00000267881	ENST00000598976	protein_coding	87	444	975	14391	0	36	360	2268	2	11742	975	0	0	0	0	12	12	117	7	56	0	0	334	117
CEACAM1	ENSG00000079385	ENST00000161559	protein_coding	276	13619	3630	7536	5409	50	405	117	2	1872	3441	0	0	0	12339	48	48	441	7	166	7	2	1118	117
CEACAM16	ENSG00000213892	ENST00000405314	protein_coding	196	4002	2734	2079	624	32	291	117	2	1170	2707	0	0	0	2817	30	30	279	7	122	7	2	987	117
CEACAM18	ENSG00000213822	ENST00000451626	protein_coding	197	969	2617	978	0	0	0	117	2	936	2617	0	0	0	0	24	24	225	7	134	8	1	822	117
CEACAM19	ENSG00000186567	ENST00000403660	protein_coding	193	5351	1944	4773	2607	87	630	117	2	1638	1935	0	0	0	4347	42	42	387	7	94	8	1	662	117
CEACAM21	ENSG00000007129	ENST00000401445	protein_coding	188	5883	1909	1728	300	6	78	117	2	1404	1900	0	0	0	5022	36	36	333	7	101	8	1	627	117
CEACAM3	ENSG00000170956	ENST00000357396	protein_coding	167	5758	1629	3021	948	84	723	117	2	1404	1611	0	0	0	4896	36	36	333	7	80	8	1	568	117
CEACAM4	ENSG00000105352	ENST00000600925	protein_coding	147	818	1612	1566	69	33	333	117	2	1170	1612	0	0	0	0	30	30	279	7	72	8	1	593	117
CEACAM5	ENSG00000105388	ENST00000221992	protein_coding	341	1893	4587	4221	1953	35	342	117	2	2106	4587	0	0	0	0	54	54	495	7	218	8	1	1504	135
CEACAM6	ENSG00000086548	ENST00000199764	protein_coding	184	5544	2332	6159	4341	71	654	117	2	1170	2224	0	0	0	4617	30	30	279	7	109	8	1	754	117
CEACAM7	ENSG00000007306	ENST00000006724	protein_coding	157	800	1725	6051	4467	69	606	117	2	936	1725	0	0	0	0	24	24	225	7	94	8	1	557	117
CEACAM8	ENSG00000124469	ENST00000244336	protein_coding	185	6227	2359	4929	3459	35	306	117	2	1170	2260	0	0	0	5319	30	30	279	7	110	8	1	762	117
CEBPA	ENSG00000245848	ENST00000498907	protein_coding	93	4603	2385	4896	4212	52	450	117	2	0	2313	0	0	0	3789	0	0	9	7	78	8	1	822	117
CEBPB	ENSG00000172216	ENST00000303004	protein_coding	107	850	2218	2631	1812	52	585	117	2	0	2218	0	0	0	0	0	0	9	7	92	8	1	786	117
CEBPD	ENSG00000221869	ENST00000408965	protein_coding	77	2050	1767	7572	1206	330	2898	3351	2	0	1731	0	0	0	1125	0	0	9	7	63	7	2	618	117
CEBPE	ENSG00000092067	ENST00000206513	protein_coding	115	1878	1815	2544	549	196	1575	117	2	234	1806	0	0	0	1017	6	6	63	7	88	8	1	626	117
CEBPG	ENSG00000153879	ENST00000284000	protein_coding	84	614	996	13218	8982	260	1986	1947	2	234	996	0	0	0	0	6	6	63	7	57	8	1	288	117
CEBPZ	ENSG00000115816	ENST00000234170	protein_coding	650	2522	7163	7746	456	57	438	1068	2	5052	7109	0	0	0	54	90	90	819	7	455	8	1	1913	1452
CEBPZ-AS1	ENSG00000218739	ENST00000392061	protein_coding	103	328	530	3846	1314	4	42	117	2	2448	530	0	0	0	0	24	24	225	7	40	8	1	141	117
CECR1	ENSG00000093072	ENST00000262607	protein_coding	274	7555	3476	8889	6531	85	636	117	2	1872	3422	0	0	0	6219	48	48	441	7	163	8	1	1005	117
CECR2	ENSG00000099954	ENST00000262608	protein_coding	769	3615	9437	7311	3915	0	0	117	0	3978	9437	0	0	0	0	102	102	927	0	557	8	1	2993	117
CECR5	ENSG00000069998	ENST00000336737	protein_coding	219	1433	2729	3117	1503	13	78	117	2	1638	2729	0	0	0	207	42	42	387	7	120	8	1	949	117
CECR6	ENSG00000183307	ENST00000331437	protein_coding	127	3647	3630	25338	9273	42	378	13416	2	0	3630	0	0	0	2142	0	0	9	7	112	8	1	1451	2271
CEL	ENSG00000170835	ENST00000372080	protein_coding	310	2086	4910	4731	291	4	48	117	2	2340	4910	0	0	0	0	60	60	549	7	175	8	1	1710	2415
CELA1	ENSG00000139610	ENST00000293636	protein_coding	187	6731	1688	2724	402	17	123	780	2	1638	1670	0	0	0	5913	42	42	387	7	88	8	1	555	117
CELA2A	ENSG00000142615	ENST00000359621	protein_coding	180	6837	1740	2793	252	6	75	1047	2	1638	1740	0	0	0	5976	42	42	387	7	82	7	2	590	117
CELA2B	ENSG00000215704	ENST00000375910	protein_coding	185	8214	1747	12381	264	6	75	8694	2	3027	1747	0	0	0	7365	42	42	387	7	87	7	2	578	657
CELA3A	ENSG00000142789	ENST00000290122	protein_coding	194	6856	1759	1758	165	4	57	117	2	1638	1750	0	0	0	6021	42	42	387	7	95	8	1	576	117
CELA3B	ENSG00000219073	ENST00000337107	protein_coding	188	6866	1756	1788	195	5	57	117	2	1638	1747	0	0	0	6021	42	42	387	7	89	8	1	585	117
CELF1	ENSG00000149187	ENST00000531165	protein_coding	364	1777	3416	9339	5478	139	837	117	2	3510	3416	0	0	0	0	90	90	819	7	169	8	1	1032	117
CELF2	ENSG00000048740	ENST00000450189	protein_coding	347	1690	3431	21960	18768	53	480	117	2	3150	3431	0	0	0	0	84	84	765	7	164	8	1	1085	117
CELF3	ENSG00000159409	ENST00000290583	protein_coding	301	10798	3059	18468	3162	295	2382	5244	2	7626	3059	0	0	0	9066	72	72	657	7	142	8	1	975	630
